1	97	296	8	200	0	1	40	35	54	-1	0	0	红色梦幻流星296	0
2	97	248	8	200	0	1	55	30	70	62	0	0	银色特效248	0
3	97	470	8	200	0	1	280	150	210	0	0	0	金色人物470	0
4	97	412	12	200	0	1	225	80	265	0	0	0	金色太阳412	0
5	97	632	6	200	0	1	225	80	245	0	0	0	蓝色老虎闪电632	0
6	97	638	6	200	0	1	225	80	245	0	0	0	紫色狼头暴雨638	0
7	97	448	8	200	0	1	258	112	227	0	0	0	红色火花448	0
8	97	602	6	200	0	1	255	95	325	0	0	0	红色闪亮边602	0
9	97	608	6	200	0	1	255	95	325	0	0	0	黄橙紫亮边608	0
10	97	380	6	200	0	1	255	110	220	0	0	0	紫色闪亮边380	0
11	97	432	8	200	0	1	260	105	235	0	0	0	绿色闪亮边432	0
12	97	386	6	200	0	1	230	105	245	0	0	0	紫色银河系386	0
13	97	424	8	200	0	1	230	95	250	0	0	0	蓝色水滴(特殊)424	0
14	97	392	6	200	0	1	230	80	250	0	0	0	彩色神龙392	0
15	97	448	8	200	0	1	260	110	225	0	0	0	红色波纹448	0
16	97	582	12	200	0	1	280	150	285	0	0	0	燃烧火焰582	0
17	97	570	12	200	0	1	277	133	287	0	0	0	红色流星570	0
18	97	546	12	200	0	1	253	100	310	0	0	0	金色龙角546	0
19	97	478	31	200	0	1	220	60	280	0	0	0	紫色双龙升天478	0
20	97	515	31	200	0	1	220	60	280	0	0	0	金色双龙升天515	0
21	97	363	10	200	0	1	-130	0	0	-1	0	0	永久回收363	0
22	97	353	10	200	0	1	-130	0	0	-1	0	0	限时奖励353	0
23	97	306	8	200	0	1	40	35	54	-1	0	0	金色梦幻星星306	0
24	97	326	12	200	0	1	40	130	40	-1	0	0	太阳双龙升天326	0
25	97	440	8	200	0	1	130	100	143	-1	0	0	绿色花朵440	0
26	97	456	8	200	0	1	125	65	180	-1	0	0	探测五角星456	0
27	97	464	6	200	0	1	253	100	323	0	0	0	金色落叶464	0
