0;金条;31;0;10;8;0;0;20620;1;0;0;0;0;0;0;0;0;0;0;0;0;100;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;祝福油;3;4;1;0;0;0;20621;1;0;0;0;0;0;0;0;0;0;0;0;0;1000;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;沃玛号角;44;0;1;0;0;0;20622;1;0;0;0;0;0;0;0;0;0;0;0;0;100;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;修复神水;2;9;1;0;0;0;20623;1000;0;0;0;0;0;0;0;0;0;0;0;0;3409;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
4;随机传送石;2;2;1;0;0;0;21067;50000;0;0;0;0;0;0;0;0;0;0;0;0;5000;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
5;盟重传送石;2;1;1;9;0;0;21066;20000;0;0;0;0;0;0;0;0;0;0;0;0;5000;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
6;超级祝福油;31;0;1;10;0;0;20626;1;0;0;0;0;0;0;0;0;0;0;0;0;5000;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
7;红名清洗卡;31;0;1;11;0;0;50387;1;0;0;0;0;0;0;0;0;0;0;0;0;10000;5;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
8;千里传音;31;0;1;7;0;0;20622;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9;------------------------------;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
10;50元宝;31;0;1;100;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
11;100元宝;31;0;1;101;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
12;200元宝;31;0;1;102;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
13;500元宝;31;0;1;103;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
14;1000元宝;31;0;1;104;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
15;2000元宝;31;0;1;105;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
16;5000元宝;31;0;1;106;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
17;10000元宝;31;0;1;107;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
18;50000元宝;31;0;1;108;0;0;20628;1;0;0;0;0;0;0;0;0;0;0;0;0;20000;5;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
